feasibility_error_rp,optimality_error_rp,feasibility_error_no_rp,optimality_error_no_rp
4.502718397549733e-08,2.2686474995420844e-06,1.3135599836295266e-07,1.4802292485367655e-06
3.048483375712634e-08,1.349492462312634e-06,1.0027583449764844e-07,5.736461162712441e-07
4.0206932564795086e-08,1.6695668749377343e-06,1.3046782721359506e-07,9.548685672195539e-07
1.3953931152691365e-08,3.372583387466709e-07,1.270128144643772e-07,0.0
2.413609357062579e-08,8.865692246009767e-07,9.142969362182154e-08,1.3594392614409808e-07
4.0146960706645914e-08,2.0188007766884475e-06,1.0744098835359343e-07,1.2746401778186063e-06
6.520102177107555e-08,1.0949203493466255e-06,1.7972317253947363e-07,4.0502647215656455e-07
4.931261602370125e-08,1.391020381026291e-06,1.4269226246558602e-07,6.137059696205605e-07
2.9325741798677128e-08,1.4772559527984134e-06,9.049048030348159e-08,7.531948582619421e-07
1.672602045006633e-08,1.486486103423162e-06,1.042488766035196e-07,7.27382175854322e-07
4.319261278595004e-08,7.606433036750296e-07,1.045150959536114e-07,8.150068032199691e-10
3.9743682572919625e-08,1.4252888768997085e-06,1.0100594884707705e-07,7.270287549055332e-07
4.291571777366792e-08,7.749715545575429e-07,1.2260959972554805e-07,6.392689515511015e-08
3.196267276447994e-08,1.8978002943447935e-06,5.552394287341138e-08,1.1861987812055312e-06
3.604521318600879e-08,9.570898519929573e-07,6.451232293346449e-08,2.684967771734878e-07
7.382414594176462e-08,2.331032191303683e-06,1.325715953907421e-07,1.5823667283135969e-06
3.243541162963455e-08,1.5285978458303678e-06,7.944859529329921e-08,8.108436841453847e-07
3.062030443436139e-08,1.3847079393297486e-06,1.1219682801114197e-07,6.205495967582555e-07
3.634587959756751e-08,2.278421408653226e-06,8.60887297004477e-08,1.5439342648361462e-06
3.1188580187314104e-08,7.362548776416432e-07,6.779762642216154e-08,0.0
5.029372064686319e-08,1.363179999588413e-06,1.6185813162573343e-07,6.180685399498324e-07
3.848527870688898e-08,1.7632552464317464e-06,1.0599705701550781e-07,1.041441807694911e-06
4.767868184610823e-08,1.767537835124454e-06,1.228294835206879e-07,9.796234784047853e-07
4.206495988224606e-08,4.852665923350235e-07,7.834989343186521e-08,0.0
5.416117076624173e-08,1.2611202152680277e-06,1.1337494520912117e-07,4.644229733553973e-07
3.928916742843498e-08,1.325913925653857e-06,1.1557016217978632e-07,5.194809213888543e-07
2.1620935402108313e-08,1.1698849120886857e-06,6.503572142996068e-08,4.743997265220163e-07
1.836900572086663e-08,1.8662442336035005e-06,1.0154599303420793e-07,1.153620981607773e-06
4.989146443060352e-08,1.922607889778359e-06,1.0764006999085378e-07,1.2021489842999504e-06
3.2384012286805784e-08,1.6155566131253766e-06,9.817899141029372e-08,8.952953350275478e-07
1.6406934604327344e-08,1.4465287851549178e-06,7.412772646468646e-08,6.963082557964315e-07
2.8765667961157485e-08,2.232677995611287e-06,1.5039972017476792e-07,1.441067387484084e-06
5.032843773849229e-08,2.0414116730605094e-06,1.233689576488932e-07,1.295309132669652e-06
2.127504927949021e-08,1.8015668684071903e-06,6.711935247704888e-08,1.020249564593689e-06
2.644938214830604e-08,9.947696675700781e-07,1.2126435593031864e-07,2.907263433912289e-07
2.6988460198301396e-08,2.1022120476817685e-06,6.85840231085397e-08,1.345686689167375e-06
2.21601940752938e-08,2.283769351946313e-06,1.0099203143129021e-07,1.4955146868837178e-06
2.9862634365757347e-08,1.5541014177881273e-06,5.221569469587886e-08,7.894230573013552e-07
2.689051547246218e-08,1.0101649247119245e-06,6.56903794449122e-08,2.798291515277468e-07
3.2108537599718406e-08,1.5748000352730023e-06,1.1062777729606003e-07,7.987879660602547e-07
3.5114323485760835e-08,8.016889929147947e-07,1.2773950361574512e-07,1.3587577452615625e-08
2.3884148083082545e-08,1.0367653283900667e-06,1.0173943181207346e-07,2.985143321606373e-07
1.603995727646478e-08,1.9340902261584953e-06,8.641998509594415e-08,1.195899063082357e-06
4.996350590737049e-08,9.026043196074704e-07,1.155134059593133e-07,1.2924780463872724e-07
2.7842491865799485e-08,1.6251271530951057e-06,6.272690363971508e-08,8.534498388355256e-07
3.6621635416380745e-08,1.3554182845031988e-06,9.126557083033623e-08,6.16623035666434e-07
2.4974980107580338e-08,1.6971655985016518e-06,8.636983941877258e-08,8.797937473274867e-07
5.192892611424604e-08,1.1306552113073439e-06,1.5285339208625592e-07,3.1518310480807677e-07
4.819914850707537e-08,8.718309157054905e-07,1.305406293983212e-07,8.858290945220202e-08
2.911114291060497e-08,2.345832502317632e-06,5.658536877842046e-08,1.5862022237747061e-06
1.009510904123988e-08,8.423478119671167e-07,9.192782472222738e-08,1.0724058055461201e-07
